,,,,,,,
,Métrica,Multiplicador,Landing,Equipos,Liga,Partidas,Total
,Inputs,4,1,3,2,1,28
,Outputs,5,5,0,2,1,40
,Logical,10,0,1,6,0,70
,Interfaces,7,3,0,0,0,21
,Total,,,,,,
,,,,,,,
,,FUNCTION POINTS,,,,,
,,159,,,,,
,,,,,,,
,Métrica,Valor,Aplica,,,,
,Data Comunications,3,1,,,,
,Distributed Functions,0,1,,,,
,Performance Objectives,3,1,,,,
,Heavily Used Configuration,0,1,,,,
,Transaction Rate,3,1,,,,
,On line Data Entry,2,1,,,,
,End-user Efficiency,4,1,,,,
,On line Update,2,1,,,,
,Complex Processing,3,1,,,,
,Reusability,0,1,,,,
,Installation Ease,0,1,,,,
,Operational Ease,3,1,,,,
,Multiple Sites,0,1,,,,
,Facilitate Change,3,1,,,,
,SUMA TOTAL,,26,,,,
,MULTIPLICADOR,,"0,91",,,,
,,,,,,,
,,FUNCTION POINTS,,,,,
,,"144,69",,"3,25","470,2425",,
,,,,3,"490,59",,
,,,,3.5,572,,
,,,,"5,25","759,6225",,
,,,,6,"868,14",,
,,,"506,415","6,5","940,485",,
,,,,,,,
,,"96,46","578,76",,,,
,,"626,99",,,,,