,,,,,,,,,
,Nombre Proyecto: PLIDI,,,,"1=Landing, 2. Partido. 3 3 4 Liga 5Equipo",,,,
,Descripción del Proyecto: Liga Juvenil Libelulas,,,,,,,,
,,,,,,,,,
,ID,Requerimiento Funcional,RF ID,Estatus,ID Componente de Sistema,ID Modulo de Software,ID Caso de Prueba,ID Defecto,ID Criterio de Aceptación
,1,Yo como usuario quiero ver la información de presentación,1,Blocked,1,1,AC1,N/A,1
,2,Yo como usuario quiero ver una liga,2,Blocked,4,4,AC2,N/A,2
,3,Yo como usuario quiero ver las estadísticas de la liga,3,Blocked,1,1,AC3,N/A,1 2 3
,4,Yo como usuario quiero ver el calendario/rol de juego,4,Blocked,1,1,AC4,N/A,1 2 4
,5,Yo como usuario quiero ver la tabla de posicionamiento,5,Blocked,1,1,AC5,N/A,
,6,Yo como usuario quiero ver un partido,6,Blocked,1,1,AC6,N/A,
,7,Yo como usuario quiero ver un equipo,7,Blocked,5,5,AC7,N/A,
,8,Yo como usuario quiero ver una jugadora,8,Blocked,5,5,AC8,N/A,
,9,Yo como usuario quiero ver una convocatoria.,9,Blocked,4,4,AC9,N/A,
,10,Yo como usuario quiero contactar a la organización para registrarme,10,Blocked,1,1,AC10,N/A,
,11,Yo como Administrador quiero crear una convocatoria,11,Blocked,4,4,AC11,N/A,
,12,Yo como Administrador quiero cambiar una convocatoria,12,Blocked,4,4,AC12,N/A,
,13,Yo como Administrador quiero eliminar una convocatoria,13,Blocked,4,4,AC13,N/A,
,14,Yo como Administrador quiero crear una liga,14,Blocked,4,4,AC14,N/A,
,15,Yo como Administrador quiero cambiar una liga,15,Blocked,4,4,AC15,N/A,
,16,Yo como Administrador quiero eliminar una liga,16,Blocked,4,4,AC16,N/A,
,17,Yo como Administrador quiero ver la lista de las ligas,17,Blocked,1,1,AC17,N/A,
,18,Yo como Administrador quiero validar el registro de un equipo,18,Blocked,5,5,AC18,N/A,
,19,Yo como Administrador quiero cambiar a un equipo,19,Blocked,5,5,AC19,N/A,
,20,Yo como Administrador quiero poner a un equipo en la liga,20,Blocked,4,4,AC20,N/A,
,21,Yo como Administrador quiero penalizar a un equipo,21,Blocked,4,4,AC21,N/A,
,22,Yo como Administrador quiero generar el rol de juegos de un torneo.,22,Blocked,4,4,AC22,N/A,
,23,Yo como Administrador quiero validar una jugadora,23,Blocked,5,5,AC23,N/A,
,24,Yo como Administrador quiero eliminar una jugadora,24,Blocked,5,5,AC24,N/A,
,25,Yo como Administrador quiero editar una jugadora,25,Blocked,5,5,AC25,N/A,
,26,Yo como Administrador quiero ver una jugadora,26,Blocked,1,1,AC26,N/A,
,27,Yo como Administrador quiero crear una jugadora,27,Blocked,5,5,AC27,N/A,
,28,Yo como Administrador quiero crear un equipo,28,Blocked,5,5,AC28,N/A,
,29,Yo como Administrador quiero quitar a un equipo de una liga antes de que empiece la liga,29,Blocked,4,4,AC29,N/A,
,30,Yo como Administrador quiero modificar el rol de juegos.,30,Blocked,2,2,AC30,N/A,
,31,Yo como Administrador quiero checar los reclamos del partido,31,Blocked,2,2,AC31,N/A,
,32,Yo como Administrador quiero agregar un reclamo,32,Blocked,2,2,AC32,N/A,
,33,Yo como Administrador quiero eliminar un reclamo,33,Blocked,2,2,AC33,N/A,
,34,Yo como Administrador quiero resolver un reclamo,34,Blocked,2,2,AC34,N/A,
,35,Yo como Administrador quiero mantener un registro de los reclamos por liga,35,Blocked,2,2,AC35,N/A,
,36,Yo como Administrador quiero loggearme,36,Blocked,3,3,AC36,N/A,
,37,Yo como Administrador quiero desloggearme,37,Blocked,3,3,AC37,N/A,
,38,Yo como Administrador quiero cambiar la información de la cuenta,38,Blocked,3,3,AC38,N/A,
,39,Yo como Administrador quiero agregar un nuevo Administrador,39,Blocked,3,3,AC39,N/A,
,40,Yo como Administrador quiero eliminar un Administrador,40,Blocked,3,3,AC40,N/A,
,41,Yo como árbitro quiero agregar una cédula,41,Blocked,2,2,AC41,N/A,
,42,Yo como árbitro quiero actualizar una cédula,42,Blocked,2,2,AC42,N/A,
,43,Yo como árbitro/Administrador quiero descargar una cédula,43,Blocked,2,2,AC43,N/A,
,44,Yo como coach quiero editar un equipo pre-registrado que no este validado,44,Blocked,5,5,AC44,N/A,
,45,Yo como coach quiero editar una jugadora pre-registrada que no este validada,45,Blocked,5,5,AC45,N/A,
,46,Yo como coach quiero pre-registrar a una jugadora,46,Blocked,5,5,AC46,N/A,
,47,Yo como coach quiero pre-registrar a un equipo,47,Blocked,5,5,AC47,N/A,
,48,Yo como Administrador quiero agregar una fotografía a fb y que se suba a la página web,48,Blocked,1,1,AC48,N/A,
,49,Yo como usuario quiero ver una galería de fotos,49,Blocked,1,1,AC49,N/A,
,50,Yo como Administrador quiero eliminar una foto de fb y que se elimine de la página web,50,Blocked,1,1,AC50,N/A,
,51,Yo como Administrador quiero modificar una foto en fb y que se modifique en la página web,51,Blocked,1,1,AC51,N/A,
,52,Yo como coach quiero ser notificado cuando haya un cambio en el rol de juego que me involucre,52,Blocked,2,2,AC52,N/A,
,53,Yo como usuario quiero ver las personas que estan involucradas en la liga,53,Blocked,1,1,AC53,N/A,